article_id,title,doi,year,authors,journal,keywords,study_country,study_continent,study_subregion,is_multi_country,is_multi_continent,researcher_country,researcher_continent,researcher_subregion,latitude,longitude,research_flow,topic_id,megatopic_id,income_group,hdi,gender_inequality_index,population_total,gdp_per_capita,gini_index,women_parliament,female_labor_force,female_homicide_rate,maternal_mortality,gini_index_source,gini_index_obs_year,women_parliament_source,women_parliament_obs_year,female_labor_force_source,female_labor_force_obs_year,female_homicide_rate_source,female_homicide_rate_obs_year
1,An International Comparative Public Health Analysis of Sex Trafficking of Women and Girls in Eight Cities: Achieving a More Effective Health Sector Response,10.1007/s11524-013-9837-4,2013,"Konstantopoulos, WM and Ahn, R and Alpert, EJ and Cafferty, E and McGahan, A and Williams, TP and Castor, JP and Wolferstan, N and Purcell, G and Burke, TF",JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,Vulnerable populations;Public health;Gender-based violence;Forced sexual exploitation;Sex trafficking;Social determinants of sex trafficking;Trafficking-related health problems;Access to health care;Health policy;HIV PREVALENCE;PREDICTORS;SERVICES;MUMBAI;INDIA;NEPAL,BRA; IND; MEX; USA,Americas / Asia,South America / Southern Asia / Central America / North America,1,1,USA,Americas,North America,42.3628605,-71.068753,Multi-national,3,3,Upper middle income; Lower middle income; Upper middle income; High income,0.754; 0.633; 0.758; 0.921,0.39; 0.49; 0.309; 0.179,198478299.0; NA; NA; NA,12458.8903396625; NA; NA; NA,52.7; 47.9; 45.4; 38.2,8.57699805068226; 11.01; 36.8; 17.78,52.826; 26.669; 44.48; 56.362,4.74832916611087; NA; NA; NA,61.0; NA; NA; NA,NA; SWIID; SWIID; SWIID,NA; 2013; 2013; 2013,WDI; IPU; IPU; IPU,2013; 2013; 2013; 2013,WDI; ILOSTAT; ILOSTAT; ILOSTAT,2013; 2013; 2013; 2013,WDI; NA; NA; NA,2013; NA; NA; NA
2,Age and Intimate Partner Violence: An Analysis of Global Trends Among Women Experiencing Victimization in 30 Developing Countries,10.1016/j.jadohealth.2015.08.008,2015,Amber Peterman Ph.D.,"Journal of Adolescent Health, 57 (2015) 624-630",Intimate partner violence (IPV);Gender-based violence (GBV);Adolescent girls;Primary prevention;Demographic and health surveys (DHS);GENDER-BASED VIOLENCE;DOMESTIC VIOLENCE;SEXUAL VIOLENCE;PREVALENCE;MULTICOUNTRY;HEALTH;PERPETRATION;PREVENTION;RISK;INTERVENTION;Developing Countries;Developed Countries;Violence,BFA; CMR; GAB; GHA; KEN; LBR; MWI; MLI; MOZ; NGA; RWA; TZA; UGA; ZMB; ZWE; AZE; EGY; UKR; KHM; IND; NPL; PHL; COL; DOM; HTI; HND,Africa / Asia / Europe / Americas,Western Africa / Middle Africa / Eastern Africa / Southern Africa / Western Asia / Northern Africa / Eastern Europe / South-Eastern Asia / Southern Asia / South America / Caribbean / Central America,1,1,FRA,Europe,Western Europe,44.6445365,-0.8488123,Multi-national,21,6,Low income; Lower middle income; Upper middle income; Lower middle income; Lower middle income; Low income; Low income; Low income; Low income; Lower middle income; Low income; Lower middle income; Low income; Low income; Lower middle income; Upper middle income; Lower middle income; Lower middle income; Lower middle income; Lower middle income; Lower middle income; Lower middle income; Upper middle income; Upper middle income; Lower middle income; Lower middle income,0.449; 0.576; 0.706; 0.632; 0.575; 0.481; 0.512; 0.428; 0.446; 0.535; 0.534; 0.549; 0.525; 0.565; 0.593; 0.745; 0.731; 0.773; 0.593; 0.633; 0.602; 0.699; 0.752; 0.767; 0.535; 0.621,0.594; 0.56; 0.544; 0.529; 0.506; 0.648; 0.549; 0.613; 0.516; 0.68; 0.388; 0.537; 0.523; 0.526; 0.503; 0.294; 0.449; 0.2; 0.461; 0.49; 0.452; 0.419; 0.424; 0.429; 0.636; 0.431,18777487.0; NA; 2040989.0; 28696068.0; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; 9649341.0; NA; NA; NA; NA; NA; NA; NA; 10434829.0; NA; 9237305.0,630.124750752312; NA; 7047.12654634355; 1722.77282833606; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; 5500.50364628486; NA; NA; NA; NA; NA; NA; 6248.51490534512; 6800.95309395474; NA; 2271.20265980349,35.3; 45.1; 42.2; 42.4; 43.0; 36.7; 44.5; 36.3; 48.2; 39.4; 48.6; 45.2; 43.8; 55.3; 47.4; 26.6; 31.8; 26.6; 35.4; 47.9; 35.8; 40.0; 51.0; 43.0; 54.3; 49.2,9.44881889763779; 31.11; 14.1666666666667; 10.9090909090909; 19.71; 10.96; 16.67; 9.52; 39.6; 6.67; 63.75; 36.0; 34.97; 12.66; 31.48; 16.9354838709677; 1.96850393700787; 11.85; 20.33; 11.97; 29.48; 27.24; 19.8795180722892; 20.7650273224044; 4.21; 25.78,73.531; 65.628; 41.453; 65.049; 71.356; 71.923; 62.23; 61.216; 78.143; 75.759; 54.516; 80.123; 73.722; 51.787; 60.384; 61.096; 22.813; 50.36; 73.417; 26.582; 27.006; 48.67; 55.255; 48.157; 61.695; 46.551,NA; 1.68149056782316; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; 1.43179751837672; NA; NA; NA; NA; NA; NA; 4.49714933157013; 3.61666135932894; NA; 10.440944904353,328.0; 417.0; 239.0; 310.0; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; 24.0; NA; NA; NA; NA; NA; 70.0; 102.0; NA; 57.0,NA; SWIID; NA; NA; SWIID; SWIID; SWIID; SWIID; SWIID; SWIID; SWIID; SWIID; SWIID; SWIID; SWIID; NA; NA; SWIID; SWIID; SWIID; SWIID; SWIID; NA; SWIID; SWIID; NA,NA; 2015; NA; NA; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; NA; NA; 2015; 2012; 2015; 2015; 2015; NA; 2015; 2012; NA,WDI; IPU; WDI; WDI; IPU; IPU; IPU; IPU; IPU; IPU; IPU; IPU; IPU; IPU; IPU; WDI; WDI; IPU; IPU; IPU; IPU; IPU; WDI; WDI; IPU; IPU,2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2012; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015,WDI; ILOSTAT; WDI; WDI; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; WDI; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; WDI; WDI; ILOSTAT; WDI,2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015,NA; WDI; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; WDI; NA; NA; NA; NA; NA; NA; WDI; WDI; NA; WDI,NA; 2015; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; 2015; NA; NA; NA; NA; NA; NA; 2015; 2014; NA; 2015
3,Cross-national and multilevel correlates of partner violence: an analysis of data from population-based surveys,10.1016/s2214-109x(15)00013-3,2015,Dr Lori L Heise PhD,"The Lancet Global Health, 3 (2015) e332-e340",GENDER INEQUALITY;DOMESTIC VIOLENCE;DETERMINANTS;AGGRESSION;EQUALITY;INDIA;Violence;Statistics as Topic,DNK; GBR; IRL; USA; ETH; JPN; SRB; PER; TUR,Europe / Americas / Africa / Asia,Northern Europe / Western Europe / North America / Eastern Africa / Eastern Asia / Eastern Europe / South America / Western Asia,1,1,GBR,Europe,Western Europe,51.5255901,-0.1262141,Multi-national,30,1,High income; High income; High income; High income; Low income; High income; Upper middle income; Upper middle income; Upper middle income,0.948; 0.929; 0.945; 0.921; 0.498; 0.925; 0.802; 0.762; 0.838,0.013; 0.098; 0.074; 0.179; 0.491; 0.083; 0.131; 0.36; 0.272,5683483.0; 65088000.0; NA; NA; 103867135.0; 127141000.0; 7095383.0; NA; NA,53094.0133607574; 45255.3449216209; NA; NA; 597.912113218663; 34960.6393843385; 5820.3215576888; NA; NA,27.4; 33.3; 29.9; 38.4; 35.0; 30.7; 40.5; 45.1; 39.3,37.4301675977654; 29.3846153846154; 16.27; 19.35; 38.7568555758684; 9.47368421052632; 34.0; 22.31; 14.42,56.837; 56.722; 54.809; 55.938; 70.185; 49.41; 43.295; 67.657; 31.416,0.81761490654398; 1.16753680423417; NA; NA; NA; 0.335016440048151; 0.79794980097802; NA; NA,5.0; 9.0; NA; NA; 401.0; 5.0; 13.0; NA; NA,SWIID; NA; SWIID; SWIID; NA; NA; NA; SWIID; SWIID,2015; NA; 2015; 2015; NA; NA; NA; 2015; 2015,WDI; WDI; IPU; IPU; WDI; WDI; WDI; IPU; IPU,2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015,WDI; WDI; ILOSTAT; ILOSTAT; WDI; WDI; WDI; ILOSTAT; ILOSTAT,2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015; 2015,WDI; WDI; NA; NA; NA; WDI; WDI; NA; NA,2015; 2015; NA; NA; NA; 2015; 2015; NA; NA
4,Do laws promoting gender equity and freedom from violence benefit the most vulnerable? A multilevel analysis of women's and adolescent girls' experiences in 15 low- and-middle-income countries,10.1093/heapol/czab127,2021,"Maxwell, L and Khan, Z and Yount, KM",HEALTH POLICY AND PLANNING,Adolescence;girls;intimate partner violence;national legal environment;non-partner violence;vulnerability;INTIMATE PARTNER VIOLENCE;CHILD MARRIAGE;HEALTH;NORMS;YOUNG;RISK;VICTIMIZATION;PERPETRATION;PREVALENCE;BANGLADESH;Adolescent,USA,NA,NA,0,0,USA,Americas,North America,33.8004547,-84.3172378,NA,2,2,High income,0.921,0.179,340161438,70205.050916026,37.5,27.25,55.632,2.986817101,31,SWIID,2021,IPU,2021,ILOSTAT,2021,OWID,2021
5,Estimating the Impact of Reducing Violence Against Female Sex Workers on HIV Epidemics in Kenya and Ukraine: A Policy Modeling Exercise,10.1111/aji.12063,2013,"Decker, MR and Wirtz, AL and Pretorius, C and Sherman, SG and Sweat, MD and Baral, SD and Beyrer, C and Kerrigan, DL",AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,Female sex workers;HIV;Kenya;Ukraine;violence;SEXUALLY-TRANSMITTED INFECTIONS;INTIMATE PARTNER VIOLENCE;INJECTION-DRUG USE;RISK BEHAVIOR;SOUTH-AFRICA;PREVENTION;WOMEN;INDIA;MEN;PREVALENCE;Exercise;Violence,KEN; UKR,Africa / Europe,Eastern Africa / Eastern Europe,1,1,USA,Americas,North America,39.2908816,-76.610759,Multi-national,3,3,Lower middle income; Lower middle income,0.575; 0.773,0.506; 0.2,44986794.0; 46126760.0,NA,43.6; 26.3,9.82; 9.44,71.235; 50.937,NA; 2.6158,NA,SWIID; SWIID,2013; 2013,IPU; IPU,2013; 2013,ILOSTAT; ILOSTAT,2013; 2013,NA; OWID,NA; 2010
6,Case stories and Post-violence behavior of women seeking medical attention at the emergency department due to physical violence,10.1016/j.jflm.2021.102174,2021,Ayse Kilic Ucar,"Journal of Forensic and Legal Medicine, 80 (2021) 102174","Intimate partner violence,Family violence,Domestic violence,Emergency department,Violence against women",TUR,Asia,Western Asia,0,0,TUR,Asia,Western Asia,40.9816254,29.0417133,Domestic,9,6,Upper middle income,0.838,0.272,86686254,9981.76398411336,40.5,17.33,32.774,1.010540841,20,SWIID,2021,IPU,2021,ILOSTAT,2021,OWID,2021
7,How do programmes to prevent intimate partner violence among the general population impact women with disabilities? Post-hoc analysis of three randomised controlled trials,10.1136/bmjgh-2019-002216,2020,"Dunkle, K and Gibbs, A and Chirwa, E and Stern, E and Van der Heijden, I and Washington, L",BMJ GLOBAL HEALTH,epidemiology;public health;prevention strategies;cluster randomized trial;other study design;INTELLECTUAL DISABILITIES;DISABLED WOMEN;SEXUAL-ABUSE;DEVELOPMENTAL-DISABILITIES;PREVALENCE;ADULTS;VICTIMIZATION;SURVIVORS;ALCOHOL;INDASHYIKIRWA,AFG; ZAF,Asia / Africa,Southern Asia / Southern Africa,1,1,ZAF,Africa,Southern Africa,-33.8538143,18.5886298,Multi-national,10,3,Low income; Upper middle income,0.478; 0.713,0.678; 0.405,39068979.0; NA,510.787063366811; NA,31.9; 61.6,27.0161290322581; 46.35,16.474; 44.148,1.27024967451186; NA,634.0; NA,SWIID; SWIID,2017; 2020,WDI; IPU,2020; 2020,WDI; ILOSTAT,2020; 2020,WDI; NA,2019; NA
8,Improved child marriage laws and its association with changing attitudes and experiences of intimate partner violence: a comparative multi-national study,10.7189/jogh.10.010707,2020,"Omidakhsh N, Heymann J.","Journal of Health, Global",Child;Only Child,BEN; EGY; GIN; MOZ; ARM; BFA; CMR; HTI; HND; IDN; KEN; LSO; MWI; NER; SEN; TZA; ZMB; ZWE,Africa / Asia / Americas,Western Africa / Northern Africa / Southern Africa / Western Asia / Middle Africa / Caribbean / Central America / South-Eastern Asia / Eastern Africa,1,1,IND,Asia,Southern Asia,22.284108,88.4065926,Multi-national,21,6,Lower middle income; Lower middle income; Lower middle income; Low income; Upper middle income; Low income; Lower middle income; Lower middle income; Lower middle income; Upper middle income; Lower middle income; Lower middle income; Low income; Low income; Lower middle income; Lower middle income; Low income; Lower middle income,0.525; 0.731; 0.465; 0.446; 0.759; 0.449; 0.576; 0.535; 0.621; 0.705; 0.575; 0.514; 0.512; 0.4; 0.511; 0.549; 0.565; 0.593,0.612; 0.449; 0.621; 0.516; 0.216; 0.594; 0.56; 0.636; 0.431; 0.444; 0.506; 0.557; 0.549; 0.611; 0.53; 0.537; 0.526; 0.503,13070169.0; NA; 13371183.0; NA; 2961500.0; 21478690.0; NA; NA; 10119640.0; NA; NA; NA; NA; 23717613.0; 16789219.0; NA; NA; NA,1200.19426557789; NA; NA; NA; 4268.68093304583; 825.237038782475; NA; NA; 2307.61494319511; NA; NA; NA; NA; 579.512495758236; 1461.08720350553; NA; NA; NA,37.9; 31.9; 29.6; 48.8; 25.1; 43.0; 45.0; 54.3; 48.2; 45.5; 41.8; 48.2; 44.0; 37.3; 38.3; 45.5; 55.1; 47.7,7.2289156626506; 27.4111675126904; 22.81; 41.2; 23.4848484848485; 6.2992125984252; 31.11; 2.54; 21.09; 20.35; 21.78; 23.33; 22.92; 16.9590643274854; 43.030303030303; 36.9; 16.77; 31.85,73.587; 14.609; 41.854; 76.87; 54.317; 69.457; 58.059; 61.366; 47.039; 53.203; 62.167; 48.489; 63.125; 63.669; 37.075; 79.344; 54.406; 59.43,NA; NA; NA; NA; 1.41528475368416; NA; 2.2896666393707; NA; 6.4926742817504; NA; NA; NA; NA; NA; NA; NA; NA; NA,578.0; 31.0; 528.0; NA; 43.0; 334.0; 316.0; NA; 57.0; NA; NA; NA; NA; 388.0; 252.0; NA; NA; NA,NA; NA; NA; SWIID; NA; NA; SWIID; SWIID; NA; SWIID; SWIID; SWIID; SWIID; NA; NA; SWIID; SWIID; SWIID,NA; NA; NA; 2020; NA; NA; 2020; 2012; NA; 2020; 2020; 2017; 2019; NA; NA; 2018; 2020; 2019,WDI; WDI; IPU; IPU; WDI; WDI; IPU; IPU; IPU; IPU; IPU; IPU; IPU; WDI; WDI; IPU; IPU; IPU,2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020,WDI; ILOSTAT; WDI; ILOSTAT; WDI; WDI; ILOSTAT; ILOSTAT; WDI; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; WDI; WDI; ILOSTAT; ILOSTAT; ILOSTAT,2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020; 2020,NA; NA; NA; NA; WDI; NA; WDI; NA; WDI; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA; NA; NA; NA; 2020; NA; 2020; NA; 2020; NA; NA; NA; NA; NA; NA; NA; NA; NA
9,Intersections between polyvictimisation and mental health among adolescents in five urban disadvantaged settings: the role of gender,10.1186/s12889-017-4348-y,2017,"Kamndaya, M and Pisa, PT and Chersich, MF and Decker, MR and Olumide, A and Acharya, R and Cheng, Y and Brahmbhatt, H and Delany-Moretlwe, S",BMC PUBLIC HEALTH,Polyvictimisation;Mental health;Adolescents;Gender differences;Urban disadvantaged environments;INTIMATE PARTNER VIOLENCE;VULNERABLE ADOLESCENTS;POLY-VICTIMIZATION;NATIONAL SAMPLE;SEXUAL VIOLENCE;CITIES FINDINGS;EXPOSURE;CHILDREN;POLYVICTIMIZATION;PREVALENCE;Adolescent,CHN; IND; NGA; USA; ZAF,Asia / Africa / Americas,Eastern Asia / Southern Asia / Western Africa / North America / Southern Africa,1,1,ZAF,Africa,Southern Africa,-26.1888766,28.0247912,Multi-national,31,5,Upper middle income; Lower middle income; Lower middle income; High income; Upper middle income,0.768; 0.633; 0.535; 0.921; 0.713,0.192; 0.49; 0.68; 0.179; 0.405,1412354730.0; 1359657398.0; 200254580.0; 332204657.0; 57635158.0,NA,41.4; 47.7; 39.0; 38.6; 62.0,23.7; 11.81; 5.56; 19.08; 42.17,61.957; 26.578; 76.156; 56.395; 48.632,NA; 2.6327; NA; 2.224; 10.1674,NA,SWIID; SWIID; SWIID; SWIID; SWIID,2017; 2017; 2017; 2017; 2017,IPU; IPU; IPU; IPU; IPU,2017; 2017; 2017; 2017; 2017,ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT; ILOSTAT,2017; 2017; 2017; 2017; 2017,NA; OWID; NA; OWID; OWID,NA; 2017; NA; 2017; 2017
10,Investigating the socio-demographic properties of women in shelters and the characteristics of violence that they are exposed,NA,2016,Sevim Ögülmüs,Biomedical Research,Violence against women;Women's shelter;Family medicine;INTIMATE PARTNER VIOLENCE;DOMESTIC VIOLENCE;BATTERED WOMEN;PREVALENCE;VICTIMIZATION;PREVENTION;CHILDREN;HEALTH;IMPACT;ABUSE;Violence,TUR,Asia,Western Asia,0,0,TUR,Asia,Western Asia,37.8646916,42.0510294,Domestic,4,1,Upper middle income,0.838,0.272,81652087,10984.3643169061,39.6,14.91,32.38,1.080192843,19,SWIID,2016,IPU,2016,ILOSTAT,2016,OWID,2016
