article_id;title;doi;year;authors;journal;keywords;study_country;latitude;longitude;study_continent;study_subregion;country_list;is_multi_country;continent_list;is_multi_continent;researcher_country;researcher_continent;researcher_subregion;topic_id;megatopic_id;research_flow;income_group;hdi;gender_inequality_index
1;An International Comparative Public Health Analysis of Sex Trafficking of Women and Girls in Eight Cities: Achieving a More Effective Health Sector Response;10.1007/s11524-013-9837-4;2013;Konstantopoulos, WM and Ahn, R and Alpert, EJ and Cafferty, E and McGahan, A and Williams, TP and Castor, JP and Wolferstan, N and Purcell, G and Burke, TF;JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE;"Vulnerable populations;Public health;Gender-based violence;Forced sexual exploitation;Sex trafficking;Social determinants of sex trafficking;Trafficking-related health problems;Access to health care;Health policy;HIV PREVALENCE;PREDICTORS;SERVICES;MUMBAI;INDIA;NEPAL";"BRA; IND; MEX; USA";42.3628605;-71.068753;América / Ásia;América do Sul / Ásia Meridional / América Central / América do Norte;['BRA', 'IND', 'MEX', 'USA'];1;['América', 'Ásia'];1;USA;América;América do Norte;3;3;Multi-national;;;
2;Age and Intimate Partner Violence: An Analysis of Global Trends Among Women Experiencing Victimization in 30 Developing Countries;10.1016/j.jadohealth.2015.08.008;2015;Amber Peterman Ph.D.;Journal of Adolescent Health, 57 (2015) 624-630. doi:10.1016/j.jadohealth.2015.08.008;"Intimate partner violence (IPV);Gender-based violence (GBV);Adolescent girls;Primary prevention;Demographic and health surveys (DHS);GENDER-BASED VIOLENCE;DOMESTIC VIOLENCE;SEXUAL VIOLENCE;PREVALENCE;MULTICOUNTRY;HEALTH;PERPETRATION;PREVENTION;RISK;INTERVENTION;Developing Countries;Developed Countries;Violence";"BFA; CMR; GAB; GHA; KEN; LBR; MWI; MLI; MOZ; NGA; RWA; TZA; UGA; ZMB; ZWE; AZE; EGY; UKR; KHM; IND; NPL; PHL; COL; DOM; HTI; HND";44.6445365;-0.8488123;África / Ásia / Europa / América;África Ocidental / África Central / África Oriental / África Meridional / Ásia Ocidental / África Setentrional / Europa Oriental / Sudeste Asiático / Ásia Meridional / América do Sul / Caribe / América Central;['BFA', 'CMR', 'GAB', 'GHA', 'KEN', 'LBR', 'MWI', 'MLI', 'MOZ', 'NGA', 'RWA', 'TZA', 'UGA', 'ZMB', 'ZWE', 'AZE', 'EGY', 'UKR', 'KHM', 'IND', 'NPL', 'PHL', 'COL', 'DOM', 'HTI', 'HND'];1;['América', 'Ásia', 'África', 'Europa'];1;FRA;Europa;Europa Ocidental;21;6;Multi-national;;;
3;Cross-national and multilevel correlates of partner violence: an analysis of data from population-based surveys;10.1016/s2214-109x(15)00013-3;2015;Dr Lori L Heise PhD;The Lancet Global Health, 3 (2015) e332-e340. doi:10.1016/S2214-109X(15)00013-3;"GENDER INEQUALITY;DOMESTIC VIOLENCE;DETERMINANTS;AGGRESSION;EQUALITY;INDIA;Violence;Statistics as Topic";"DNK; GBR; IRL; USA; ETH; JPN; SRB; PER; TUR";51.5255901;-0.1262141;Europa / América / África / Ásia;Europa Setentrional / Europa Ocidental / América do Norte / África Oriental / Ásia Oriental / Europa Oriental / América do Sul / Ásia Ocidental;['DNK', 'GBR', 'IRL', 'USA', 'ETH', 'JPN', 'SRB', 'PER', 'TUR'];1;['América', 'Ásia', 'África', 'Europa'];1;GBR;Europa;Europa Ocidental;30;1;Multi-national;;;
4;Do laws promoting gender equity and freedom from violence benefit the most vulnerable? A multilevel analysis of women's and adolescent girls' experiences in 15 low- and-middle-income countries;10.1093/heapol/czab127;2021;Maxwell, L and Khan, Z and Yount, KM;HEALTH POLICY AND PLANNING;"Adolescence;girls;intimate partner violence;national legal environment;non-partner violence;vulnerability;INTIMATE PARTNER VIOLENCE;CHILD MARRIAGE;HEALTH;NORMS;YOUNG;RISK;VICTIMIZATION;PERPETRATION;PREVALENCE;BANGLADESH;Adolescent";;33.8004547;-84.3172378;;;['nan'];0;[];0;USA;América;América do Norte;2;2;;;;
5;Estimating the Impact of Reducing Violence Against Female Sex Workers on HIV Epidemics in Kenya and Ukraine: A Policy Modeling Exercise;10.1111/aji.12063;2013;Decker, MR and Wirtz, AL and Pretorius, C and Sherman, SG and Sweat, MD and Baral, SD and Beyrer, C and Kerrigan, DL;AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY;"Female sex workers;HIV;Kenya;Ukraine;violence;SEXUALLY-TRANSMITTED INFECTIONS;INTIMATE PARTNER VIOLENCE;INJECTION-DRUG USE;RISK BEHAVIOR;SOUTH-AFRICA;PREVENTION;WOMEN;INDIA;MEN;PREVALENCE;Exercise;Violence";"KEN; UKR";39.2908816;-76.610759;África / Europa;África Oriental / Europa Oriental;['KEN', 'UKR'];1;['África', 'Europa'];1;USA;América;América do Norte;3;3;Multi-national;;;
6;Case stories and Post-violence behavior of women seeking medical attention at the emergency department due to physical violence;10.1016/j.jflm.2021.102174;2021;Ayse Kilic Ucar;Journal of Forensic and Legal Medicine, 80 (2021) 102174. doi:10.1016/j.jflm.2021.102174;Intimate partner violence,Family violence,Domestic violence,Emergency department,Violence against women;TUR;40.9816254;29.0417133;Ásia;Ásia Ocidental;['TUR'];0;['Ásia'];0;TUR;Ásia;Ásia Ocidental;9;6;Domestic;Upper middle income;0.838;0.272
7;How do programmes to prevent intimate partner violence among the general population impact women with disabilities? Post-hoc analysis of three randomised controlled trials;10.1136/bmjgh-2019-002216;2020;Dunkle, K and Gibbs, A and Chirwa, E and Stern, E and Van der Heijden, I and Washington, L;BMJ GLOBAL HEALTH;"epidemiology;public health;prevention strategies;cluster randomized trial;other study design;INTELLECTUAL DISABILITIES;DISABLED WOMEN;SEXUAL-ABUSE;DEVELOPMENTAL-DISABILITIES;PREVALENCE;ADULTS;VICTIMIZATION;SURVIVORS;ALCOHOL;INDASHYIKIRWA";"AFG; ZAF";-33.8538143;18.5886298;Ásia / África;Ásia Meridional / África Meridional;['AFG', 'ZAF'];1;['Ásia', 'África'];1;ZAF;África;África Meridional;10;3;Multi-national;;;
8;Improved child marriage laws and its association with changing attitudes and experiences of intimate partner violence: a comparative multi-national study;10.7189/jogh.10.010707;2020;Omidakhsh N, Heymann J.;Journal of Health, Global;"Child;Only Child";"BEN; EGY; GIN; MOZ; ARM; BFA; CMR; HTI; HND; IDN; KEN; LSO; MWI; NER; SEN; TZA; ZMB; ZWE";22.284108;88.4065926;África / Ásia / América;África Ocidental / África Setentrional / África Meridional / Ásia Ocidental / África Central / Caribe / América Central / Sudeste Asiático / África Oriental;['BEN', 'EGY', 'GIN', 'MOZ', 'ARM', 'BFA', 'CMR', 'HTI', 'HND', 'IDN', 'KEN', 'LSO', 'MWI', 'NER', 'SEN', 'TZA', 'ZMB', 'ZWE'];1;['América', 'Ásia', 'África'];1;IND;Ásia;Ásia Meridional;21;6;Multi-national;;;
9;12889_2017_4348_Article 1..10;;2017;Kamndaya, M and Pisa, PT and Chersich, MF and Decker, MR and Olumide, A and Acharya, R and Cheng, Y and Brahmbhatt, H and Delany-Moretlwe, S;BMC PUBLIC HEALTH;"Polyvictimisation;Mental health;Adolescents;Gender differences;Urban disadvantaged environments;INTIMATE PARTNER VIOLENCE;VULNERABLE ADOLESCENTS;POLY-VICTIMIZATION;NATIONAL SAMPLE;SEXUAL VIOLENCE;CITIES FINDINGS;EXPOSURE;CHILDREN;POLYVICTIMIZATION;PREVALENCE;Adolescent";"CHN; IND; NGA; USA; ZAF";-26.1888766;28.0247912;Ásia / África / América;Ásia Oriental / Ásia Meridional / África Ocidental / América do Norte / África Meridional;['CHN', 'IND', 'NGA', 'USA', 'ZAF'];1;['América', 'Ásia', 'África'];1;ZAF;África;África Meridional;31;5;Multi-national;;;
10;investigating-the-sociodemographic-properties-of-women-in-shelters-and-the-characteristics-of-violence-that-they-are-exposed;;2016;Sevim Ögülmüs;Biomedical Research;"Violence against women;Women's shelter;Family medicine;INTIMATE PARTNER VIOLENCE;DOMESTIC VIOLENCE;BATTERED WOMEN;PREVALENCE;VICTIMIZATION;PREVENTION;CHILDREN;HEALTH;IMPACT;ABUSE;Violence";TUR;37.8646916;42.0510294;Ásia;Ásia Ocidental;['TUR'];0;['Ásia'];0;TUR;Ásia;Ásia Ocidental;4;1;Domestic;Upper middle income;0.838;0.272
11;Public Responses to Intimate Partner Violence: Comparing Preferences of Chinese and American College Students;10.1891/0886-6708.vv-d-12-00001;2013;"Yuning Wu ; Deeanna M. Button ; Nicole Smolter ; Margarita Poteyeva";VIOLENCE AND VICTIMS;"INTIMATE PARTNER VIOLENCE ; PUBLIC PERCEPTIONS ; FORMAL INTERVENTION ; CHINA";CHN;42.3571895;-83.0709436;Ásia;Ásia Oriental;['CHN'];0;['Ásia'];0;USA;América;América do Norte;1;1;Cross-continental;Upper middle income;0.768;0.192
12;fsoc-2021-623661 1..12;;2021;Jones, AD;FRONTIERS IN SOCIOLOGY;"child sexual abuse;Caribbean;pregnant;living with HIV;disability;woman;IPV;DOMESTIC VIOLENCE;INTERPERSONAL VIOLENCE;DISABLED WOMEN;PREGNANCY;RISK;HEALTH;VICTIMIZATION;DISABILITIES;PREVALENCE;BARBADOS;Child Abuse, Sexual;Only Child;Child;Caribbean Region;Sex Offenses";"BRB; GRD";53.6429919;-1.7780783;América;Caribe;['BRB', 'GRD'];1;['América'];0;GBR;Europa;Europa Ocidental;29;2;Multi-national;;;
13;untitled;;2014;Palermo, T and Bleck, J and Peterman, A;AMERICAN JOURNAL OF EPIDEMIOLOGY;"gender-based violence;global prevalence;reporting;INTIMATE PARTNER VIOLENCE;DOMESTIC VIOLENCE;SEXUAL ASSAULT;WOMENS HEALTH;HELP-SEEKING;PREVALENCE;RAPE;MULTICOUNTRY;BARRIERS;Developing Countries;Developed Countries";"BOL; COL; HTI; HND; KHM; IND; NPL; PHL; AZE; UKR; CMR; GHA; KEN; MWI; MLI; NGA; RWA; TZA; UGA; ZMB; ZWE";40.908482;-73.1325471;América / Ásia / Europa / África;América do Sul / Caribe / América Central / Sudeste Asiático / Ásia Meridional / Ásia Ocidental / Europa Oriental / África Central / África Ocidental / África Oriental / África Meridional;['BOL', 'COL', 'HTI', 'HND', 'KHM', 'IND', 'NPL', 'PHL', 'AZE', 'UKR', 'CMR', 'GHA', 'KEN', 'MWI', 'MLI', 'NGA', 'RWA', 'TZA', 'UGA', 'ZMB', 'ZWE'];1;['América', 'Ásia', 'África', 'Europa'];1;USA;América;América do Norte;21;6;Multi-national;;;
14;Psychometric properties and reliability of the Assessment Screen to Identify Survivors Toolkit for Gender Based Violence (ASIST-GBV): results from humanitarian settings in Ethiopia and Colombia;10.1186/s13031-016-0068-7;2016;Alexander Vu;Conflict and Health, 2016, doi:10.1186/s13031-016-0068-7;Gender-based violence,Screening,Conflict,Refugees,Internally-displaced person,Humanitarian setting,Ethiopia,Colombia,Psychometric analysis;"COL; ETH";39.3302023;-76.6218536;América / África;América do Sul / África Oriental;['COL', 'ETH'];1;['América', 'África'];1;USA;América;América do Norte;25;4;Multi-national;;;
15;The Role of Socioeconomic Factors on Women’s Risk of Being Exposed to Intimate Partner Violence;10.1177/0886260520966668;2020;Meltem Ince-Yenilmez;J Interpers Violence 0.0:0886260520966668;violence against women,gender inequality,socioeconomic status,human rights,intimate partner violence,gender-based violence;;41.0127594;28.9616519;;;['-'];0;[];0;TUR;Ásia;Ásia Ocidental;30;1;Cross-continental;;;
16;The Evaluation of Depression Levels and Domestic Violence during the COVID-19 Pandemic;10.1080/19371918.2022.2095071;2022;Hamzaoglu N, Rozant-Reisyan R, Kalfoglou S.;;"Domestic violence; depression; Covid-19; violence against women; pandemic";TUR;41.0159187;28.9066445;Ásia;Ásia Ocidental;['TUR'];0;['Ásia'];0;TUR;Ásia;Ásia Ocidental;5;5;Domestic;Upper middle income;0.838;0.272
17;Violence against emergency department employees and the attitude of employees towards violence;10.12809/hkmj154714;2016;Çıkrıklar HÍ, Yürümez Y, Güngör B, Aşkın R, Yücel M, Baydemir C.;Hong Kong Medical Journal;"Emergency Service, Hospital;Violence;Emergencies";TUR;39.294076;35.2316631;Ásia;Ásia Ocidental;['TUR'];0;['Ásia'];0;TUR;Ásia;Ásia Ocidental;6;6;Domestic;Upper middle income;0.838;0.272
